Feature,Duration,SHAP_value,Normalized_Importance,Sum_Normalized_Importance,Type
In Board Sensor Temperature,360,0.032414265,0.13916353840346027,1.0,IBS_N
time_since_T_high,360,0.054151155,0.2324861087682917,1.0,IBS_N
High Gain Antenna elevation,360,0.02586744,0.11105618096968124,1.0,IBS_N
Electronic Box Temperature,370,0.11976354,0.5246000978777781,1.0,IBS_N
In Board Sensor Temperature,370,0.033719197,0.1477001602203816,1.0,IBS_N
time_since_T_high,370,0.04851989,0.21253161891356104,1.0,IBS_N
High Gain Antenna elevation,370,0.026292298,0.11516812298827929,1.0,IBS_N
Electronic Box Temperature,380,0.1175091,0.5272371609970553,1.0,IBS_N
In Board Sensor Temperature,380,0.029716164,0.13332980971756994,1.0,IBS_N
time_since_T_high,380,0.052462034,0.23538546262622204,1.0,IBS_N
High Gain Antenna elevation,380,0.023189822,0.10404756665915281,1.0,IBS_N
Electronic Box Temperature,390,0.12402214,0.5286145359064178,1.0,IBS_N
In Board Sensor Temperature,390,0.032033302,0.13653424356554505,1.0,IBS_N
time_since_T_high,390,0.051273685,0.2185417474693378,1.0,IBS_N
High Gain Antenna elevation,390,0.02728822,0.11630947305869926,1.0,IBS_N
Electronic Box Temperature,400,0.12165739,0.5403787326886541,1.0,IBS_N
In Board Sensor Temperature,400,0.028849684,0.128144748776775,1.0,IBS_N
time_since_T_high,400,0.050097495,0.2225234394636954,1.0,IBS_N
High Gain Antenna elevation,400,0.024528995,0.10895307907087545,1.0,IBS_N
Electronic Box Temperature,410,0.12170581,0.5430695943660571,0.9999999999999999,IBS_N
In Board Sensor Temperature,410,0.029140268,0.13002825027398607,0.9999999999999999,IBS_N
time_since_T_high,410,0.048072934,0.21450864808644907,0.9999999999999999,IBS_N
High Gain Antenna elevation,410,0.025188195,0.11239350727350772,0.9999999999999999,IBS_N
Electronic Box Temperature,420,0.12180155,0.623975627432808,1.0,IBS_N
time_since_T_high,420,0.052302342,0.2679390095253739,1.0,IBS_N
High Gain Antenna elevation,420,0.021098524,0.1080853630418181,1.0,IBS_N
Electronic Box Temperature,430,0.11733664,0.5280596304133794,1.0,IBS_N
In Board Sensor Temperature,430,0.02965822,0.13347330119490977,1.0,IBS_N
time_since_T_high,430,0.05151185,0.23182297083766362,1.0,IBS_N
High Gain Antenna elevation,430,0.02369668,0.10664409755404722,1.0,IBS_N
Electronic Box Temperature,440,0.12136948,0.5222078835665823,1.0,IBS_N
In Board Sensor Temperature,440,0.034214184,0.14721095134128961,1.0,IBS_N
time_since_T_high,440,0.051057268,0.21968049844962498,1.0,IBS_N
High Gain Antenna elevation,440,0.025775092,0.1109006666425031,1.0,IBS_N
Electronic Box Temperature,450,0.11641026,0.5297810198893986,0.9999999999999999,IBS_N
In Board Sensor Temperature,450,0.032909267,0.14976948797359038,0.9999999999999999,IBS_N
time_since_T_high,450,0.045650315,0.20775377049215688,0.9999999999999999,IBS_N
High Gain Antenna elevation,450,0.024762945,0.11269572164485403,0.9999999999999999,IBS_N
Electronic Box Temperature,460,0.11655003,0.600971435657122,1.0,IBS_N
time_since_T_high,460,0.053519957,0.275967028018761,1.0,IBS_N
High Gain Antenna elevation,460,0.023866069,0.12306153632411707,1.0,IBS_N
Electronic Box Temperature,470,0.1086849,0.49157271005254566,1.0,IBS_N
In Board Sensor Temperature,470,0.033211093,0.15021099517796058,1.0,IBS_N
time_since_T_high,470,0.05638089,0.25500604860909354,1.0,IBS_N
High Gain Antenna elevation,470,0.022819402,0.1032102461604002,1.0,IBS_N
Electronic Box Temperature,480,0.11470678,0.6006127919968044,1.0,IBS_N
time_since_T_high,480,0.054709706,0.2864638800773967,1.0,IBS_N
High Gain Antenna elevation,480,0.021566426,0.11292332792579894,1.0,IBS_N
Electronic Box Temperature,490,0.11136435,0.5005560535325406,1.0,IBS_N
In Board Sensor Temperature,490,0.035872143,0.1612366824018185,1.0,IBS_N
time_since_T_high,490,0.055251617,0.2483427717829937,1.0,IBS_N
High Gain Antenna elevation,490,0.019993167,0.08986449228264722,1.0,IBS_N
Electronic Box Temperature,500,0.10561096,0.461670888957773,1.0,IBS_N
In Board Sensor Temperature,500,0.033391774,0.14596979315837152,1.0,IBS_N
time_since_T_high,500,0.057394344,0.2508953409345793,1.0,IBS_N
Search Coil Magnetometer Temperature,500,0.013935914,0.06091986858957701,1.0,IBS_N
High Gain Antenna elevation,500,0.018425118,0.08054410835969926,1.0,IBS_N
Electronic Box Temperature,510,0.111492015,0.5947462583273506,0.9999999999999999,IBS_N
time_since_T_high,510,0.053858813,0.2873060237515886,0.9999999999999999,IBS_N
High Gain Antenna elevation,510,0.022110654,0.11794771792106071,0.9999999999999999,IBS_N
Electronic Box Temperature,520,0.10372061,0.4577131675223738,0.9999999999999998,IBS_N
In Board Sensor Temperature,520,0.03427526,0.15125477783299693,0.9999999999999998,IBS_N
time_since_T_high,520,0.055876642,0.24658045108232304,0.9999999999999998,IBS_N
Search Coil Magnetometer Temperature,520,0.011276692,0.04976340203257783,0.9999999999999998,IBS_N
High Gain Antenna elevation,520,0.021456927,0.09468820152972823,0.9999999999999998,IBS_N
Electronic Box Temperature,530,0.112326786,0.6025068337778332,1.0,IBS_N
time_since_T_high,530,0.052939273,0.2839596403811495,1.0,IBS_N
High Gain Antenna elevation,530,0.021166326,0.11353352584101738,1.0,IBS_N
Electronic Box Temperature,540,0.104291305,0.46736737853623816,1.0,IBS_N
In Board Sensor Temperature,540,0.033685144,0.1509554171068786,1.0,IBS_N
time_since_T_high,540,0.050468046,0.22616572262535484,1.0,IBS_N
Search Coil Magnetometer Temperature,540,0.012666893,0.056764967852392156,1.0,IBS_N
High Gain Antenna elevation,540,0.02203492,0.09874651387913619,1.0,IBS_N
Electronic Box Temperature,550,0.116408594,0.5025277069068642,1.0,IBS_N
In Board Sensor Temperature,550,0.034610603,0.14941153709195934,1.0,IBS_N
time_since_T_high,550,0.051595215,0.22273291163809303,1.0,IBS_N
High Gain Antenna elevation,550,0.029031709,0.12532784436308347,1.0,IBS_N
Electronic Box Temperature,560,0.10853129,0.5018401124870513,1.0,IBS_N
In Board Sensor Temperature,560,0.03544983,0.16391721387303923,1.0,IBS_N
time_since_T_high,560,0.05160387,0.238612218886988,1.0,IBS_N
High Gain Antenna elevation,560,0.02068168,0.09563045475292146,1.0,IBS_N
Electronic Box Temperature,570,0.10548514,0.4681170092957481,0.9999999999999999,IBS_N
In Board Sensor Temperature,570,0.032941304,0.14618537464880896,0.9999999999999999,IBS_N
time_since_T_high,570,0.05370544,0.23833148399587128,0.9999999999999999,IBS_N
Search Coil Magnetometer Temperature,570,0.012288197,0.054531984593061966,0.9999999999999999,IBS_N
High Gain Antenna elevation,570,0.020919178,0.09283414746650959,0.9999999999999999,IBS_N
Electronic Box Temperature,580,0.10324857,0.46899357626613436,1.0,IBS_N
In Board Sensor Temperature,580,0.033991434,0.15440179165749485,1.0,IBS_N
time_since_T_high,580,0.05181304,0.235354183857658,1.0,IBS_N
Search Coil Magnetometer Temperature,580,0.013703996,0.062248669334372383,1.0,IBS_N
High Gain Antenna elevation,580,0.01739218,0.07900177888434036,1.0,IBS_N
Electronic Box Temperature,590,0.11465037,0.6183745713589899,1.0000000000000002,IBS_N
time_since_T_high,590,0.049072556,0.26467616966251417,1.0000000000000002,IBS_N
High Gain Antenna elevation,590,0.021683097,0.11694925897849608,1.0000000000000002,IBS_N
Electronic Box Temperature,600,0.10195147,0.5386309787130348,1.0,IBS_N
time_since_T_high,600,0.04883884,0.2580258253108985,1.0,IBS_N
Search Coil Magnetometer Temperature,600,0.013981209,0.07386565674101109,1.0,IBS_N
High Gain Antenna elevation,600,0.024507364,0.12947753923505562,1.0,IBS_N
Electronic Box Temperature,610,0.092904,0.4247724587567244,1.0,IBS_N
In Board Sensor Temperature,610,0.03668122,0.167712606664905,1.0,IBS_N
time_since_T_high,610,0.053677183,0.2454209614445519,1.0,IBS_N
Search Coil Magnetometer Temperature,610,0.012814347,0.0585893145887352,1.0,IBS_N
High Gain Antenna elevation,610,0.022637995,0.10350465854508346,1.0,IBS_N
Electronic Box Temperature,620,0.102602914,0.4632489491094215,0.9999999999999999,IBS_N
In Board Sensor Temperature,620,0.034465108,0.15560888516229388,0.9999999999999999,IBS_N
time_since_T_high,620,0.05181432,0.23394003496644625,0.9999999999999999,IBS_N
Search Coil Magnetometer Temperature,620,0.011618089,0.052455308627099316,0.9999999999999999,IBS_N
High Gain Antenna elevation,620,0.020985045,0.09474682213473898,0.9999999999999999,IBS_N
Electronic Box Temperature,630,0.09837502,0.44965267349050125,1.0,IBS_N
In Board Sensor Temperature,630,0.034076292,0.15575596122311317,1.0,IBS_N
time_since_T_high,630,0.05155602,0.23565232543312067,1.0,IBS_N
Search Coil Magnetometer Temperature,630,0.011875556,0.05428080730846269,1.0,IBS_N
High Gain Antenna elevation,630,0.02289713,0.10465823254480215,1.0,IBS_N
Electronic Box Temperature,640,0.09757855,0.4495485202076053,1.0,IBS_N
In Board Sensor Temperature,640,0.036338165,0.16741146802047985,1.0,IBS_N
time_since_T_high,640,0.051887453,0.23904769760866165,1.0,IBS_N
Search Coil Magnetometer Temperature,640,0.012823262,0.0590773121381125,1.0,IBS_N
High Gain Antenna elevation,640,0.018431565,0.08491500202514067,1.0,IBS_N
Electronic Box Temperature,650,0.10038825,0.4497175257464187,0.9999999999999999,IBS_N
In Board Sensor Temperature,650,0.035995226,0.161250783586756,0.9999999999999999,IBS_N
time_since_T_high,650,0.051801324,0.23205866483048146,0.9999999999999999,IBS_N
Search Coil Magnetometer Temperature,650,0.012302647,0.0551131827576594,0.9999999999999999,IBS_N
High Gain Antenna elevation,650,0.022737676,0.10185984307868427,0.9999999999999999,IBS_N
Radial Distance from Sun,660,0.042257,0.1780104485313142,1.0,IBS_N
Electronic Box Temperature,660,0.08695861,0.3663189807548956,1.0,IBS_N
In Board Sensor Temperature,660,0.03825513,0.16115230257528299,1.0,IBS_N
time_since_T_high,660,0.045785062,0.19287264648825114,1.0,IBS_N
High Gain Antenna elevation,660,0.02412914,0.10164562165025616,1.0,IBS_N
Electronic Box Temperature,670,0.10278678,0.5358185486300227,0.9999999999999999,IBS_N
time_since_T_high,670,0.0525633,0.2740079134418305,0.9999999999999999,IBS_N
Search Coil Magnetometer Temperature,670,0.014296107,0.07452436299492511,0.9999999999999999,IBS_N
High Gain Antenna elevation,670,0.022185134,0.11564917493322166,0.9999999999999999,IBS_N
Electronic Box Temperature,680,0.09453403,0.4455917971579149,1.0,IBS_N
In Board Sensor Temperature,680,0.036303423,0.171118352804318,1.0,IBS_N
time_since_T_high,680,0.05045318,0.2378140776240235,1.0,IBS_N
Search Coil Magnetometer Temperature,680,0.011944626,0.05630170813324214,1.0,IBS_N
High Gain Antenna elevation,680,0.018918624,0.08917406428050152,1.0,IBS_N
Electronic Box Temperature,690,0.0918111,0.42758930960359864,1.0,IBS_N
In Board Sensor Temperature,690,0.03862632,0.17989329723015704,1.0,IBS_N
time_since_T_high,690,0.051437743,0.2395595850277073,1.0,IBS_N
Search Coil Magnetometer Temperature,690,0.015210077,0.07083747306641108,1.0,IBS_N
High Gain Antenna elevation,690,0.01763271,0.08212033507212602,1.0,IBS_N
