Feature,Duration,SHAP_value,Type
High Gain Antenna Elevation,300,0.12405048,IBS_N
Radial Distance from Sun,310,0.049460866,IBS_N
Electronic Box Temperature,310,0.22186826,IBS_N
Out Board Sensor Temperature,310,0.050368413,IBS_N
In Board Sensor Temperature,310,0.048389968,IBS_N
Out Board Sensor minus In Board Sensor Temp.,310,0.086569995,IBS_N
Heater Dutycycle,310,0.027802957,IBS_N
Search Coil Magnetometer's Temperature,310,0.0702473,IBS_N
High Gain Antenna Azimuth,310,0.29631627,IBS_N
High Gain Antenna Elevation,310,0.12191191,IBS_N
Radial Distance from Sun,320,0.05426675,IBS_N
Electronic Box Temperature,320,0.20155501,IBS_N
Out Board Sensor Temperature,320,0.059448488,IBS_N
In Board Sensor Temperature,320,0.03710881,IBS_N
Out Board Sensor minus In Board Sensor Temp.,320,0.08172772,IBS_N
Heater Dutycycle,320,0.035891686,IBS_N
Search Coil Magnetometer's Temperature,320,0.06428708,IBS_N
High Gain Antenna Azimuth,320,0.30672294,IBS_N
High Gain Antenna Elevation,320,0.12786755,IBS_N
Radial Distance from Sun,330,0.051070984,IBS_N
Electronic Box Temperature,330,0.20799877,IBS_N
Out Board Sensor Temperature,330,0.048005205,IBS_N
In Board Sensor Temperature,330,0.05747228,IBS_N
Out Board Sensor minus In Board Sensor Temp.,330,0.08698841,IBS_N
Heater Dutycycle,330,0.047067545,IBS_N
Search Coil Magnetometer's Temperature,330,0.06682279,IBS_N
Solar Array's Angle,330,0.0105777085,IBS_N
High Gain Antenna Azimuth,330,0.303243,IBS_N
High Gain Antenna Elevation,330,0.12075334,IBS_N
Radial Distance from Sun,340,0.044454716,IBS_N
Electronic Box Temperature,340,0.22577816,IBS_N
Out Board Sensor Temperature,340,0.049091816,IBS_N
In Board Sensor Temperature,340,0.062009256,IBS_N
Out Board Sensor minus In Board Sensor Temp.,340,0.084518485,IBS_N
Heater Dutycycle,340,0.057474926,IBS_N
Search Coil Magnetometer's Temperature,340,0.06397298,IBS_N
Solar Array's Angle,340,0.0062828036,IBS_N
High Gain Antenna Azimuth,340,0.27923188,IBS_N
High Gain Antenna Elevation,340,0.12718502,IBS_N
Radial Distance from Sun,350,0.06042278,IBS_N
Electronic Box Temperature,350,0.20229265,IBS_N
Out Board Sensor Temperature,350,0.06505438,IBS_N
In Board Sensor Temperature,350,0.06475812,IBS_N
Out Board Sensor minus In Board Sensor Temp.,350,0.07918814,IBS_N
Heater Dutycycle,350,0.044445343,IBS_N
Search Coil Magnetometer's Temperature,350,0.06258113,IBS_N
High Gain Antenna Azimuth,350,0.26988825,IBS_N
High Gain Antenna Elevation,350,0.12856615,IBS_N
Radial Distance from Sun,360,0.044753883,IBS_N
Electronic Box Temperature,360,0.21194735,IBS_N
Out Board Sensor Temperature,360,0.041640844,IBS_N
In Board Sensor Temperature,360,0.06621698,IBS_N
Out Board Sensor minus In Board Sensor Temp.,360,0.08911388,IBS_N
Heater Dutycycle,360,0.073566206,IBS_N
Search Coil Magnetometer's Temperature,360,0.05617869,IBS_N
Solar Array's Angle,360,0.0075426064,IBS_N
High Gain Antenna Azimuth,360,0.28632113,IBS_N
High Gain Antenna Elevation,360,0.122718416,IBS_N
Radial Distance from Sun,370,0.049366493,IBS_N
Electronic Box Temperature,370,0.20758364,IBS_N
Out Board Sensor Temperature,370,0.06351713,IBS_N
In Board Sensor Temperature,370,0.08308683,IBS_N
Out Board Sensor minus In Board Sensor Temp.,370,0.08210388,IBS_N
Heater Dutycycle,370,0.05154444,IBS_N
Search Coil Magnetometer's Temperature,370,0.054015804,IBS_N
Solar Array's Angle,370,0.0071341544,IBS_N
High Gain Antenna Azimuth,370,0.27201182,IBS_N
High Gain Antenna Elevation,370,0.12963574,IBS_N
Radial Distance from Sun,380,0.05452693,IBS_N
Electronic Box Temperature,380,0.21492122,IBS_N
Out Board Sensor Temperature,380,0.05566106,IBS_N
In Board Sensor Temperature,380,0.08027849,IBS_N
Out Board Sensor minus In Board Sensor Temp.,380,0.0843486,IBS_N
Heater Dutycycle,380,0.055457402,IBS_N
Search Coil Magnetometer's Temperature,380,0.058408868,IBS_N
Solar Array's Angle,380,0.0085303895,IBS_N
High Gain Antenna Azimuth,380,0.27615544,IBS_N
High Gain Antenna Elevation,380,0.11171155,IBS_N
Radial Distance from Sun,390,0.053243138,IBS_N
Electronic Box Temperature,390,0.20946409,IBS_N
Out Board Sensor Temperature,390,0.06471031,IBS_N
In Board Sensor Temperature,390,0.09488166,IBS_N
Out Board Sensor minus In Board Sensor Temp.,390,0.08171137,IBS_N
Heater Dutycycle,390,0.042936426,IBS_N
Search Coil Magnetometer's Temperature,390,0.05065044,IBS_N
Solar Array's Angle,390,0.007347406,IBS_N
High Gain Antenna Azimuth,390,0.2877804,IBS_N
High Gain Antenna Elevation,390,0.10727474,IBS_N
Radial Distance from Sun,400,0.056889903,IBS_N
Electronic Box Temperature,400,0.20195287,IBS_N
Out Board Sensor Temperature,400,0.07010834,IBS_N
In Board Sensor Temperature,400,0.091916665,IBS_N
Out Board Sensor minus In Board Sensor Temp.,400,0.079692915,IBS_N
Heater Dutycycle,400,0.050681427,IBS_N
Search Coil Magnetometer's Temperature,400,0.05617168,IBS_N
Solar Array's Angle,400,0.0055705598,IBS_N
High Gain Antenna Azimuth,400,0.27870306,IBS_N
High Gain Antenna Elevation,400,0.10831252,IBS_N
Radial Distance from Sun,410,0.06164444,IBS_N
Electronic Box Temperature,410,0.19230008,IBS_N
Out Board Sensor Temperature,410,0.05780769,IBS_N
In Board Sensor Temperature,410,0.09202999,IBS_N
Out Board Sensor minus In Board Sensor Temp.,410,0.07681255,IBS_N
Heater Dutycycle,410,0.07660718,IBS_N
Search Coil Magnetometer's Temperature,410,0.043516893,IBS_N
Solar Array's Angle,410,0.0044361902,IBS_N
High Gain Antenna Azimuth,410,0.2802178,IBS_N
High Gain Antenna Elevation,410,0.11462711,IBS_N
Radial Distance from Sun,420,0.060785472,IBS_N
Electronic Box Temperature,420,0.18738058,IBS_N
Out Board Sensor Temperature,420,0.06630885,IBS_N
In Board Sensor Temperature,420,0.08204034,IBS_N
Out Board Sensor minus In Board Sensor Temp.,420,0.081563026,IBS_N
Heater Dutycycle,420,0.07528516,IBS_N
Search Coil Magnetometer's Temperature,420,0.043769803,IBS_N
Solar Array's Angle,420,0.008621231,IBS_N
High Gain Antenna Azimuth,420,0.2827487,IBS_N
High Gain Antenna Elevation,420,0.11149686,IBS_N
Radial Distance from Sun,430,0.05846237,IBS_N
Electronic Box Temperature,430,0.21300146,IBS_N
Out Board Sensor Temperature,430,0.08299072,IBS_N
In Board Sensor Temperature,430,0.08560098,IBS_N
Out Board Sensor minus In Board Sensor Temp.,430,0.07868031,IBS_N
Heater Dutycycle,430,0.066577524,IBS_N
Search Coil Magnetometer's Temperature,430,0.045390714,IBS_N
Solar Array's Angle,430,0.010949394,IBS_N
High Gain Antenna Azimuth,430,0.2623441,IBS_N
High Gain Antenna Elevation,430,0.096002504,IBS_N
Radial Distance from Sun,440,0.05931936,IBS_N
Electronic Box Temperature,440,0.18350762,IBS_N
Out Board Sensor Temperature,440,0.06103099,IBS_N
In Board Sensor Temperature,440,0.10271212,IBS_N
Out Board Sensor minus In Board Sensor Temp.,440,0.089275196,IBS_N
Heater Dutycycle,440,0.06835337,IBS_N
Search Coil Magnetometer's Temperature,440,0.04443116,IBS_N
Solar Array's Angle,440,0.00724636,IBS_N
High Gain Antenna Azimuth,440,0.28604427,IBS_N
High Gain Antenna Elevation,440,0.09807956,IBS_N
Radial Distance from Sun,450,0.0570859,IBS_N
Electronic Box Temperature,450,0.19078065,IBS_N
Out Board Sensor Temperature,450,0.07096955,IBS_N
In Board Sensor Temperature,450,0.11393066,IBS_N
Out Board Sensor minus In Board Sensor Temp.,450,0.087506935,IBS_N
Heater Dutycycle,450,0.053338137,IBS_N
Search Coil Magnetometer's Temperature,450,0.041816264,IBS_N
Solar Array's Angle,450,0.010668526,IBS_N
High Gain Antenna Azimuth,450,0.27901495,IBS_N
High Gain Antenna Elevation,450,0.09488854,IBS_N
Radial Distance from Sun,460,0.056113042,IBS_N
Electronic Box Temperature,460,0.187547,IBS_N
Out Board Sensor Temperature,460,0.08383091,IBS_N
In Board Sensor Temperature,460,0.11629044,IBS_N
Out Board Sensor minus In Board Sensor Temp.,460,0.07704637,IBS_N
Heater Dutycycle,460,0.053407166,IBS_N
Search Coil Magnetometer's Temperature,460,0.03461708,IBS_N
Solar Array's Angle,460,0.013536756,IBS_N
High Gain Antenna Azimuth,460,0.2810138,IBS_N
High Gain Antenna Elevation,460,0.096597336,IBS_N
Radial Distance from Sun,470,0.071032934,IBS_N
Electronic Box Temperature,470,0.176617,IBS_N
Out Board Sensor Temperature,470,0.08134428,IBS_N
In Board Sensor Temperature,470,0.086740166,IBS_N
Out Board Sensor minus In Board Sensor Temp.,470,0.08707814,IBS_N
Heater Dutycycle,470,0.06605411,IBS_N
Search Coil Magnetometer's Temperature,470,0.038800847,IBS_N
Solar Array's Angle,470,0.008609507,IBS_N
High Gain Antenna Azimuth,470,0.2848596,IBS_N
High Gain Antenna Elevation,470,0.09886347,IBS_N
Radial Distance from Sun,480,0.062195536,IBS_N
Electronic Box Temperature,480,0.1865868,IBS_N
Out Board Sensor Temperature,480,0.076451264,IBS_N
In Board Sensor Temperature,480,0.10964914,IBS_N
Out Board Sensor minus In Board Sensor Temp.,480,0.08831986,IBS_N
Heater Dutycycle,480,0.06397616,IBS_N
Search Coil Magnetometer's Temperature,480,0.041685604,IBS_N
Solar Array's Angle,480,0.010279094,IBS_N
High Gain Antenna Azimuth,480,0.26426157,IBS_N
High Gain Antenna Elevation,480,0.096594945,IBS_N
Radial Distance from Sun,490,0.06053769,IBS_N
Electronic Box Temperature,490,0.17887694,IBS_N
Out Board Sensor Temperature,490,0.061627354,IBS_N
In Board Sensor Temperature,490,0.1325298,IBS_N
Out Board Sensor minus In Board Sensor Temp.,490,0.07601628,IBS_N
Heater Dutycycle,490,0.059071865,IBS_N
Search Coil Magnetometer's Temperature,490,0.03819198,IBS_N
Solar Array's Angle,490,0.030398086,IBS_N
High Gain Antenna Azimuth,490,0.2738513,IBS_N
High Gain Antenna Elevation,490,0.08889872,IBS_N
Radial Distance from Sun,500,0.078604124,IBS_N
Electronic Box Temperature,500,0.18808852,IBS_N
Out Board Sensor Temperature,500,0.064722665,IBS_N
In Board Sensor Temperature,500,0.124284,IBS_N
Out Board Sensor minus In Board Sensor Temp.,500,0.08572639,IBS_N
Heater Dutycycle,500,0.06086578,IBS_N
Search Coil Magnetometer's Temperature,500,0.036307544,IBS_N
Solar Array's Angle,500,0.020412907,IBS_N
High Gain Antenna Azimuth,500,0.2545325,IBS_N
High Gain Antenna Elevation,500,0.0864556,IBS_N
Radial Distance from Sun,510,0.0709233,IBS_N
Electronic Box Temperature,510,0.18912634,IBS_N
Out Board Sensor Temperature,510,0.080848105,IBS_N
In Board Sensor Temperature,510,0.1082625,IBS_N
Out Board Sensor minus In Board Sensor Temp.,510,0.08320553,IBS_N
Heater Dutycycle,510,0.048890073,IBS_N
Search Coil Magnetometer's Temperature,510,0.039549608,IBS_N
Solar Array's Angle,510,0.02343723,IBS_N
High Gain Antenna Azimuth,510,0.26592126,IBS_N
High Gain Antenna Elevation,510,0.089836,IBS_N
Radial Distance from Sun,520,0.07276757,IBS_N
Electronic Box Temperature,520,0.1726966,IBS_N
Out Board Sensor Temperature,520,0.06574968,IBS_N
In Board Sensor Temperature,520,0.14916235,IBS_N
Out Board Sensor minus In Board Sensor Temp.,520,0.0765134,IBS_N
Heater Dutycycle,520,0.04914601,IBS_N
Search Coil Magnetometer's Temperature,520,0.038782332,IBS_N
